indicador,anio,valor_anual
   Trabajador familiar sin remuneración (7),2023.0,0.1
   Trabajador familiar sin remuneración (7),2024.0,0.15000000000000002
   Trabajador familiar sin remuneración (7),2025.0,0.20000000000000004
Actividades no bien especificadas,2020.0,0.45
Actividades no bien especificadas,2021.0,0.6
Actividades no bien especificadas,2022.0,0.625
Actividades no bien especificadas,2023.0,0.45
Actividades no bien especificadas,2024.0,0.425
Actividades no bien especificadas,2025.0,0.3666666666666667
Actividades primarias,2020.0,0.35
Actividades primarias,2021.0,0.42500000000000004
Actividades primarias,2022.0,0.45
Actividades primarias,2023.0,0.475
Actividades primarias,2024.0,0.5
Actividades primarias,2025.0,0.43333333333333335
"Administración pública, defensa y seguridad social",2020.0,3.45
"Administración pública, defensa y seguridad social",2021.0,4.0
"Administración pública, defensa y seguridad social",2022.0,3.725
"Administración pública, defensa y seguridad social",2023.0,3.8
"Administración pública, defensa y seguridad social",2024.0,3.425
"Administración pública, defensa y seguridad social",2025.0,3.1666666666666665
Asalariado,2020.0,27.95
Asalariado,2021.0,30.675
Asalariado,2022.0,32.375
Asalariado,2023.0,33.55
Asalariado,2024.0,33.025
Asalariado,2025.0,32.36666666666667
Comercio,2020.0,6.775
Comercio,2021.0,7.824999999999999
Comercio,2022.0,8.175
Comercio,2023.0,8.4
Comercio,2024.0,8.325
Comercio,2025.0,8.733333333333333
Con descuento jubilatorio (formal),2020.0,19.4
Con descuento jubilatorio (formal),2021.0,20.675
Con descuento jubilatorio (formal),2022.0,20.525
Con descuento jubilatorio (formal),2023.0,21.375
Con descuento jubilatorio (formal),2024.0,21.05
Con descuento jubilatorio (formal),2025.0,20.433333333333334
Construcción,2020.0,3.275
Construcción,2021.0,3.575
Construcción,2022.0,3.925
Construcción,2023.0,4.075
Construcción,2024.0,3.825
Construcción,2025.0,3.766666666666667
Cuenta propia,2020.0,8.975
Cuenta propia,2021.0,9.95
Cuenta propia,2022.0,10.075
Cuenta propia,2023.0,9.975000000000001
Cuenta propia,2024.0,10.35
Cuenta propia,2025.0,10.733333333333334
Cónyuge ,2020.0,9.025
Cónyuge ,2021.0,10.325
Cónyuge ,2022.0,10.625
Cónyuge ,2023.0,10.95
Cónyuge ,2024.0,10.925
Cónyuge ,2025.0,10.799999999999999
De otro tipo (1),2020.0,0.475
De otro tipo (1),2021.0,0.6499999999999999
De otro tipo (1),2022.0,0.6749999999999999
De otro tipo (1),2023.0,0.625
De otro tipo (1),2024.0,0.55
De otro tipo (1),2025.0,0.5333333333333333
Enseñanza,2020.0,3.425
Enseñanza,2021.0,3.55
Enseñanza,2022.0,3.575
Enseñanza,2023.0,3.5749999999999997
Enseñanza,2024.0,3.6
Enseñanza,2025.0,3.466666666666667
Estatal,2020.0,7.4
Estatal,2021.0,8.15
Estatal,2022.0,7.85
Estatal,2023.0,8.175
Estatal,2024.0,7.725
Estatal,2025.0,7.1000000000000005
Formales,2023.0,26.7
Formales,2024.0,26.125
Formales,2025.0,25.53333333333333
Hijos,2020.0,7.225
Hijos,2021.0,8.5
Hijos,2022.0,8.75
Hijos,2023.0,8.7
Hijos,2024.0,8.65
Hijos,2025.0,9.033333333333333
Hoteles y restaurantes,2020.0,1.275
Hoteles y restaurantes,2021.0,1.375
Hoteles y restaurantes,2022.0,1.675
Hoteles y restaurantes,2023.0,1.85
Hoteles y restaurantes,2024.0,2.1
Hoteles y restaurantes,2025.0,2.1666666666666665
Industria manufacturera,2020.0,4.625
Industria manufacturera,2021.0,4.775
Industria manufacturera,2022.0,5.2
Industria manufacturera,2023.0,5.35
Industria manufacturera,2024.0,4.775
Industria manufacturera,2025.0,4.866666666666667
Infomales,2023.0,18.9
Infomales,2024.0,18.75
Infomales,2025.0,19.2
Jefe de hogar,2020.0,19.8
Jefe de hogar,2021.0,21.15
Jefe de hogar,2022.0,22.3
Jefe de hogar,2023.0,22.9
Jefe de hogar,2024.0,22.75
Jefe de hogar,2025.0,22.46666666666667
Mujeres de 30 a 64 años,2020.0,12.7
Mujeres de 30 a 64 años,2021.0,13.775
Mujeres de 30 a 64 años,2022.0,14.4
Mujeres de 30 a 64 años,2023.0,14.8
Mujeres de 30 a 64 años,2024.0,14.875
Mujeres de 30 a 64 años,2025.0,14.700000000000001
Mujeres de 65 años y más,2020.0,0.625
Mujeres de 65 años y más,2021.0,0.6499999999999999
Mujeres de 65 años y más,2022.0,0.6749999999999999
Mujeres de 65 años y más,2023.0,0.775
Mujeres de 65 años y más,2024.0,0.8250000000000001
Mujeres de 65 años y más,2025.0,0.8666666666666667
Mujeres hasta 29 años,2020.0,3.4
Mujeres hasta 29 años,2021.0,3.875
Mujeres hasta 29 años,2022.0,4.275
Mujeres hasta 29 años,2023.0,4.45
